=======================================================
THESIS SIMULATION DATA - COMPLETE TEXT DUMP
=======================================================

-------------------------------------------------------
SIMULATION METADATA
-------------------------------------------------------
Layout Name:       Multi-Floor Office
PoE Enabled:       Off
Base Load:         10.0 W
Tx Power Levels:   {1: 5.0, 2: 12.0, 3: 16.0, 4: 20.0} dBm

-------------------------------------------------------
BEST SOLUTIONS FOUND (Min Uncovered, then Min Power)
-------------------------------------------------------
AI (NSGA-II):      Uncovered: 3.0, Power: 30.16W, Interference: 216.0
Random Search:     Uncovered: 3.0, Power: 40.23W, Interference: 230.0
Grid Deployment:   Uncovered: 3.0, Power: 131.30W, Interference: 265.0

-------------------------------------------------------
DATASET: Section 4.1: Pareto Front Solutions (AI + Baselines) (combined_solutions.csv)
-------------------------------------------------------
Method,Uncovered,Power,Interference
Random,23.0,10.1,0.0
Random,92.0,10.003,0.0
Random,23.0,10.1,0.0
Random,8.0,30.118,210.0
Random,8.0,40.086,178.0
Random,23.0,10.1,0.0
Random,23.0,10.1,0.0
Random,53.0,10.015,0.0
Random,53.0,10.015,0.0
Random,23.0,10.1,0.0
Random,53.0,10.015,0.0
Random,23.0,10.1,0.0
Random,20.0,20.055,86.0
Random,23.0,10.1,0.0
Random,92.0,10.003,0.0
Random,53.0,10.015,0.0
Random,34.0,10.04,0.0
Random,34.0,10.04,0.0
Random,9.0,20.2,111.0
Random,23.0,10.1,0.0
Random,17.0,20.14,71.0
Random,34.0,10.04,0.0
Random,92.0,10.003,0.0
Random,23.0,10.1,0.0
Random,34.0,10.04,0.0
Random,92.0,10.003,0.0
Random,92.0,10.003,0.0
Random,22.0,20.055,54.0
Random,19.0,20.055,104.0
Random,53.0,10.015,0.0
Random,53.0,10.015,0.0
Random,53.0,10.015,0.0
Random,8.0,30.215000000000003,181.0
Random,23.0,10.1,0.0
Random,53.0,10.015,0.0
Random,23.0,10.1,0.0
Random,53.0,10.015,0.0
Random,23.0,10.1,0.0
Random,23.0,10.1,0.0
Random,23.0,10.1,0.0
Random,92.0,10.003,0.0
Random,34.0,10.04,0.0
Random,20.0,20.055,86.0
Random,53.0,10.015,0.0
Random,23.0,10.1,0.0
Random,34.0,10.04,0.0
Random,92.0,10.003,0.0
Random,53.0,10.015,0.0
Random,92.0,10.003,0.0
Random,23.0,10.1,0.0
Random,53.0,10.015,0.0
Random,92.0,10.003,0.0
Random,23.0,10.1,0.0
Random,23.0,10.1,0.0
Random,6.0,30.12,223.0
Random,23.0,10.1,0.0
Random,34.0,10.04,0.0
Random,92.0,10.003,0.0
Random,23.0,10.1,0.0
Random,19.0,20.055,104.0
Random,3.0,40.23,230.0
Random,92.0,10.003,0.0
Random,92.0,10.003,0.0
Random,20.0,20.055,86.0
Random,23.0,10.1,0.0
Random,23.0,10.1,0.0
Random,92.0,10.003,0.0
Random,53.0,10.015,0.0
Random,23.0,10.1,0.0
Random,23.0,10.1,0.0
Random,23.0,10.1,0.0
Random,92.0,10.003,0.0
Random,34.0,10.04,0.0
Random,18.0,20.115,67.0
Random,23.0,10.1,0.0
Random,23.0,10.1,0.0
Random,23.0,10.1,0.0
Random,5.0,40.146,179.0
Random,53.0,10.015,0.0
Random,23.0,10.1,0.0
Random,53.0,10.015,0.0
Random,34.0,10.04,0.0
Random,23.0,10.1,0.0
Random,34.0,10.04,0.0
Random,3.0,50.295,214.0
Random,23.0,10.1,0.0
Random,34.0,10.04,0.0
Random,34.0,10.04,0.0
Random,23.0,10.1,0.0
Random,34.0,10.04,0.0
Random,92.0,10.003,0.0
Random,92.0,10.003,0.0
Random,23.0,10.1,0.0
Random,23.0,10.1,0.0
Random,23.0,10.1,0.0
Random,19.0,20.055,104.0
Random,34.0,10.04,0.0
Random,23.0,10.1,0.0
Random,92.0,10.003,0.0
Random,53.0,10.015,0.0
Random,21.0,20.08,44.0
Random,7.0,30.155,216.0
Random,92.0,10.003,0.0
Random,23.0,10.1,0.0
Random,19.0,20.055,104.0
Random,13.0,20.115,123.0
Random,9.0,20.2,111.0
Random,34.0,10.04,0.0
Random,92.0,10.003,0.0
Random,23.0,10.1,0.0
Random,92.0,10.003,0.0
Random,34.0,10.04,0.0
Random,34.0,10.04,0.0
Random,92.0,10.003,0.0
Random,23.0,10.1,0.0
Random,23.0,10.1,0.0
Random,34.0,10.04,0.0
Random,34.0,10.04,0.0
Random,3.0,40.255,215.0
Random,23.0,10.1,0.0
Random,34.0,10.04,0.0
Random,8.0,30.18,183.0
Random,23.0,10.1,0.0
Random,23.0,10.1,0.0
Random,92.0,10.003,0.0
