0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0.003632065485529089,0.22260037414159628,0.014414722159553788,3.660296566236513,0.008650864068698456,0.23096989955683395,0.006661967295048471,0.061675366611693046,0.004803556310008596,0.003153854268390103,0.0075406953903893285,0.09869057217935548,0.005035808655578402,0.0005935710628917905,0.10003182417499523,2.3415588808332304,0.19228762340214056,0.07620895946108741,0.014113088587244036,0.028425079460740674,0.10529992974108104,0.011413347448629853,0.06839189541946566,3.5954600398213046
0.006093438976301241,0.0683573307436469,0.23507102919594855,0.1295205594110237,0.21602195665009474,0.15753677213387812,0.003058634263633911,2.4336445229223274,0.006182899255625301,0.0011880917738309078,0.02280457201188224,3.7854334843054693,0.06328815337417988,0.004124893891622578,0.03787343056927586,0.2563956356132272,0.4007386492563976,0.008452253028827093,0.09459244074952854,0.14534791814347753,0.04579782981804335,0.001598069184562536,0.015382017779481272,3.2390663162871984
0.03666344315023788,0.07043894701728755,0.005079334363365139,0.11729516382073546,0.22092814097950284,0.009810856061330177,0.0012484139194101993,0.14553746382327226,0.0063179481495157595,0.00019275308851897464,0.011169830712946941,0.16148798220683624,0.0641696016342932,0.004189923471982226,0.03110832952476691,0.08919284840076724,0.3467708230826583,0.12534840954340792,0.01436133910622727,0.1440372536989536,0.05017702317206912,0.0029396054639653207,0.10481193036583658,0.0535090833978251
0.003287115327768559,0.07043894701728755,0.005079334363365139,0.11856827528716428,0.22026315181974537,0.009810856061330177,0.0012484139194101993,0.16824700901494155,0.006330372010871985,0.002515368727415873,0.011169830712946941,0.04878033166397917,0.0641696016342932,0.004189923471982226,0.03110832952476691,0.26953747442927384,0.3467708230826583,0.12534840954340792,0.08735725414269252,0.1440372536989536,0.05017702317206912,0.002919557598167122,0.030357330046109923,0.0535090833978251
0.003203990666485298,0.015509226208051938,0.08887752556846215,0.017409040035309263,0.01162176236386532,0.22989919593082075,0.00526253059477209,2.4530280309900583,0.006335972618143636,9.519164534542175e-06,0.024064842200338943,3.832077040510643,0.0009970775181299624,0.001666072537098744,0.10614208135453566,0.07698080112217787,0.013269647363064458,0.004340606128282982,0.008041065368899807,0.11641147873023894,0.04617009451946049,0.027810155998933675,0.04615202800117392,3.2742146835054395
0.018994714880719844,0.011474483512677845,0.2804744232137129,0.2868401828373163,0.11032691781950536,0.41640769262990757,0.03511590239939541,0.24647577495500983,0.00648046634283849,0.020584359675778142,0.021914275339663367,0.10339859619360214,1.1527025289567456,0.0008388927786904315,0.03332529141656419,0.24150577931499048,0.06843449876921706,0.03324192181093096,0.2103912192891259,0.2807175589709474,0.006666495462187512,0.03830473179481521,0.06486880800855607,0.1325515845024876
0.005969971459613348,0.22962043054898695,0.10522964120157141,0.023488485586732544,0.012826057065262117,0.041615910455366265,0.004710789444484775,0.051334190446175834,0.006666366250894414,0.0006738773221538225,0.023729912956216112,0.044330056295292325,1.0725677115274148,0.006231475272575641,0.09725922952775323,0.2007019600987171,0.025525976763854583,0.02416733424266538,0.014112849052883833,0.039708856903245486,0.1574548842046043,0.010416066717263094,0.009139179644958764,0.16601003506751763
0.001353675013263216,0.008015933154244526,0.0036366604545237102,0.030995435412143477,0.0017244661489878577,3.773322029088909,0.0036118408525286794,0.04182007157215252,0.007638720685300546,0.022030287355361985,0.022849639577562333,0.013490257528401411,0.00032360285382197074,0.0031024308685368967,0.03324802439717762,0.068205037963595,0.16850505082869316,0.06795699659353474,0.10334842084378973,0.15999305388090734,0.0026800330043458,0.009641777438850044,0.09511700173684642,3.533343430535601
0.0013566366466253733,0.0028141291734944903,0.15071753510055244,0.03441682103823783,0.04825343480420804,3.4357967425302807,0.0016960211515547469,0.041844934153529065,0.004794846821149087,0.020012101376098247,0.022856539161016085,0.01065436843248202,0.0003972326359410799,0.00403232314252156,0.03528492565754629,1.3472554000215116,0.0027693269238914693,0.07141212808914806,0.2195854853125411,2.724680801094568,0.04516628379265192,0.0018644749946589833,0.09581318856376021,0.025128009971185472
0.03649457236956717,0.05634402947925454,0.09748582187584075,2.4274846174502054,0.019776385708358407,0.21298649198239838,0.006689309332169512,0.01302160715900187,0.023521219896331574,7.963345823045614e-05,0.024531216370896385,0.0223526500360941,0.003048671366426412,0.004682838373442232,0.10861814351519933,0.08291247431023774,0.04119609959603748,0.00634906527398268,0.012075898803575513,0.03244367159730227,0.002006324382250811,0.0011685432756396892,0.0011712518482081893,3.4621045827573793
