Method,Uncovered,Power,Interference
Random,18.0,20.115,99.0
Random,17.0,20.2,100.0
Random,18.0,20.115,99.0
Random,18.0,20.115,99.0
Random,18.0,20.115,99.0
Random,17.0,20.2,100.0
Random,19.0,20.115,91.0
Random,22.0,20.103,86.0
Random,23.0,20.103,85.0
Random,20.0,20.103,110.0
Random,21.0,20.14,85.0
Random,8.0,30.155,217.0
Random,4.0,80.266,231.0
Random,4.0,60.176,233.0
Random,4.0,50.161,234.0
Random,4.0,40.34,239.0
Random,4.0,50.161,234.0
Random,4.0,40.303,242.0
Random,4.0,40.28,248.0
Random,22.0,20.08,147.0
Random,7.0,40.243,219.0
Random,6.0,40.255,226.0
Random,6.0,40.255,226.0
Random,5.0,40.28,229.0
Random,5.0,50.173,227.0
Random,5.0,70.251,226.0
Random,5.0,40.243,234.0
Random,5.0,40.243,232.0
Random,7.0,40.17,229.0
Random,7.0,40.158,232.0
Random,7.0,40.218,227.0
Random,10.0,30.095,227.0
Random,11.0,30.095,212.0
Random,11.0,30.118,206.0
Random,12.0,30.143,152.0
Random,12.0,30.203000000000003,144.0
Random,10.0,30.155,184.0
Random,11.0,30.143,165.0
Random,11.0,30.203000000000003,146.0
Random,11.0,30.155,155.0
Random,10.0,30.155,184.0
Random,9.0,30.203000000000003,176.0
Random,9.0,30.215000000000003,157.0
Random,3.0,50.343,240.0
Random,3.0,50.258,243.0
Random,8.0,40.158,214.0
Random,8.0,40.243,207.0
Random,6.0,40.23,234.0
Random,6.0,40.218,235.0
Random,89.0,10.015,0.0
Random,89.0,10.015,0.0
Random,89.0,10.015,0.0
Random,89.0,10.015,0.0
Random,89.0,10.015,0.0
Random,89.0,10.015,0.0
Random,89.0,10.015,0.0
Random,89.0,10.015,0.0
Random,89.0,10.015,0.0
Random,89.0,10.015,0.0
Random,89.0,10.015,0.0
Random,89.0,10.015,0.0
Random,89.0,10.015,0.0
Random,89.0,10.015,0.0
Random,89.0,10.015,0.0
Random,89.0,10.015,0.0
Random,89.0,10.015,0.0
Random,89.0,10.015,0.0
Random,89.0,10.015,0.0
Random,13.0,20.2,161.0
Random,13.0,30.130000000000003,154.0
Random,15.0,20.14,125.0
Random,15.0,20.14,125.0
Random,15.0,20.14,125.0
Random,15.0,20.14,125.0
Random,14.0,30.118,153.0
Random,14.0,20.14,168.0
Random,14.0,20.14,168.0
Random,23.0,20.14,77.0
Random,25.0,20.08,75.0
Random,25.0,20.08,75.0
Random,29.0,20.08,69.0
Random,25.0,20.08,75.0
Random,25.0,20.115,61.0
Random,29.0,20.043,112.0
Random,27.0,20.043,115.0
Random,27.0,20.055,104.0
Random,26.0,20.055,136.0
Random,28.0,20.055,84.0
Random,32.0,20.03,142.0
Random,33.0,20.03,131.0
Random,34.0,20.03,130.0
Random,32.0,20.055,43.0
Random,31.0,20.103,48.0
Random,30.0,20.055,68.0
Random,31.0,20.043,71.0
Random,31.0,20.043,71.0
Random,31.0,20.055,49.0
Random,34.0,20.043,57.0
Random,31.0,20.055,49.0
Random,30.0,20.103,49.0
Random,31.0,20.043,71.0
Random,37.0,20.08,41.0
Random,36.0,20.03,45.0
Random,36.0,20.03,45.0
Random,36.0,20.03,45.0
Random,36.0,20.103,33.0
Random,38.0,20.043,12.0
Random,38.0,20.018,38.0
Random,39.0,20.018,15.0
Random,39.0,20.018,15.0
Random,142.0,10.003,0.0
Random,142.0,10.003,0.0
Random,142.0,10.003,0.0
Random,142.0,10.003,0.0
Random,142.0,10.003,0.0
Random,142.0,10.003,0.0
Random,142.0,10.003,0.0
Random,142.0,10.003,0.0
Random,142.0,10.003,0.0
Random,142.0,10.003,0.0
Random,142.0,10.003,0.0
Random,142.0,10.003,0.0
Random,142.0,10.003,0.0
Random,142.0,10.003,0.0
Random,142.0,10.003,0.0
Random,142.0,10.003,0.0
Random,142.0,10.003,0.0
Random,142.0,10.003,0.0
Random,142.0,10.003,0.0
Random,142.0,10.003,0.0
Random,142.0,10.003,0.0
Random,142.0,10.003,0.0
Random,142.0,10.003,0.0
Random,142.0,10.003,0.0
Random,142.0,10.003,0.0
Random,142.0,10.003,0.0
Random,142.0,10.003,0.0
Random,142.0,10.003,0.0
Random,142.0,10.003,0.0
Random,142.0,10.003,0.0
Random,142.0,10.003,0.0
Random,142.0,10.003,0.0
Random,142.0,10.003,0.0
Random,142.0,10.003,0.0
Random,142.0,10.003,0.0
Random,142.0,10.003,0.0
Random,142.0,10.003,0.0
Random,57.0,10.04,0.0
Random,57.0,10.04,0.0
Random,57.0,10.04,0.0
Random,57.0,10.04,0.0
Random,57.0,10.04,0.0
Random,57.0,10.04,0.0
Random,57.0,10.04,0.0
Random,57.0,10.04,0.0
Random,57.0,10.04,0.0
Random,57.0,10.04,0.0
Random,57.0,10.04,0.0
Random,57.0,10.04,0.0
Random,57.0,10.04,0.0
Random,57.0,10.04,0.0
Random,57.0,10.04,0.0
Random,57.0,10.04,0.0
Random,57.0,10.04,0.0
Random,57.0,10.04,0.0
Random,57.0,10.04,0.0
Random,57.0,10.04,0.0
Random,57.0,10.04,0.0
Random,57.0,10.04,0.0
Random,57.0,10.04,0.0
Random,57.0,10.04,0.0
Random,57.0,10.04,0.0
Random,57.0,10.04,0.0
Random,50.0,10.1,0.0
Random,50.0,10.1,0.0
Random,50.0,10.1,0.0
Random,50.0,10.1,0.0
Random,50.0,10.1,0.0
Random,50.0,10.1,0.0
Random,50.0,10.1,0.0
Random,50.0,10.1,0.0
Random,50.0,10.1,0.0
Random,50.0,10.1,0.0
Random,50.0,10.1,0.0
Random,50.0,10.1,0.0
Random,50.0,10.1,0.0
Random,50.0,10.1,0.0
Random,50.0,10.1,0.0
Random,50.0,10.1,0.0
Random,50.0,10.1,0.0
Random,50.0,10.1,0.0
Random,50.0,10.1,0.0
Random,50.0,10.1,0.0
Random,50.0,10.1,0.0
Random,50.0,10.1,0.0
Random,50.0,10.1,0.0
Random,50.0,10.1,0.0
Random,50.0,10.1,0.0
Random,47.0,20.018,10.0
Random,50.0,10.1,0.0
Random,50.0,10.1,0.0
Random,50.0,10.1,0.0
Random,50.0,10.1,0.0
Random,47.0,20.018,10.0
Random,50.0,10.1,0.0
Random,48.0,20.018,2.0
Random,50.0,10.1,0.0
Random,50.0,10.1,0.0
Random,17.0,20.14,109.0
Random,17.0,20.115,110.0
Random,18.0,20.115,104.0
Random,22.0,20.103,91.0
Random,22.0,20.103,91.0
Random,24.0,20.115,89.0
Random,20.0,20.103,118.0
Random,20.0,20.103,118.0
Random,21.0,20.14,91.0
Random,22.0,20.14,90.0
Random,8.0,30.155,221.0
Random,8.0,30.24,219.0
Random,4.0,80.134,233.0
Random,4.0,50.223,240.0
Random,4.0,50.258,235.0
Random,4.0,50.185,243.0
Random,4.0,40.315,251.0
Random,22.0,20.08,175.0
Random,22.0,20.08,175.0
Random,22.0,20.08,175.0
Random,7.0,50.138,219.0
Random,7.0,40.28,226.0
Random,5.0,70.179,228.0
Random,5.0,50.198,229.0
Random,6.0,50.186,229.0
Random,6.0,50.258,227.0
Random,6.0,40.243,233.0
Random,6.0,50.138,232.0
Random,5.0,40.303,233.0
Random,5.0,40.28,234.0
Random,5.0,40.255,242.0
Random,7.0,40.183,229.0
Random,7.0,40.17,239.0
Random,7.0,40.255,227.0
Random,7.0,40.243,228.0
Random,11.0,30.095,214.0
Random,12.0,30.130000000000003,211.0
Random,14.0,30.203000000000003,145.0
Random,11.0,30.143,207.0
Random,12.0,30.143,175.0
Random,11.0,40.218,155.0
Random,11.0,30.18,168.0
Random,11.0,30.155,175.0
Random,10.0,30.155,207.0
Random,9.0,30.215,216.0
Random,11.0,40.206,164.0
Random,9.0,30.215000000000003,190.0
Random,10.0,40.158,166.0
Random,9.0,40.243,163.0
Random,3.0,60.298,241.0
Random,3.0,70.21600000000001,240.0
Random,3.0,60.261,243.0
Random,3.0,50.26,244.0
Random,8.0,40.195,215.0
Random,8.0,40.183,217.0
Random,8.0,50.161,212.0
Random,8.0,40.34,214.0
Random,8.0,60.273,207.0
Random,6.0,40.23,243.0
Random,96.0,10.015,0.0
Random,96.0,10.015,0.0
Random,96.0,10.015,0.0
Random,96.0,10.015,0.0
Random,96.0,10.015,0.0
Random,96.0,10.015,0.0
Random,96.0,10.015,0.0
Random,96.0,10.015,0.0
Random,96.0,10.015,0.0
Grid,107.0,10.1,0.0
Grid,61.0,20.2,161.0
Grid,14.0,30.3,228.0
Grid,49.0,40.4,189.0
Grid,10.0,50.5,252.0
Grid,7.0,60.6,258.0
Grid,35.0,70.7,223.0
Grid,32.0,80.8,228.0
Grid,7.0,90.9,261.0
Grid,6.0,101.0,262.0
Grid,4.0,111.09999999999998,263.0
Grid,4.0,121.19999999999996,266.0
Grid,3.0,131.29999999999998,265.0
Grid,3.0,141.39999999999998,266.0
Grid,3.0,151.49999999999997,267.0
