Method,Mean,Median,StdDev,Min,Max
AI,19.495405,20.115,9.904281968295964,0.0,30.215000000000003
Random,17.610964,10.1,12.369292064337266,10.003,80.266
Grid,80.8,80.8,45.16857314549574,10.1,151.49999999999997
